Mk-Er bias genes,Ma-Ba-Eos bias genes
Hbb.bt,Emb
Dlk1,Lgals1
Pbx1,Ap3s1
Tmem176b,Cpa3
Tnip3,Ctsg
Ly6a,Plac8
Pf4,Igfbp4
Car2,Thy1
Ccdc62,Cyp11a1
Gzmb,Ccl9
Cd44,Srgn
Lgals9,Igfbp7
Pim2,Fam107b
Tsc22d1,Cd53
Slc14a1,Calr
Rpl15,Fcgr3
Hsd17b10,Gsr
Rap1b,Akr1c13
Plcg2,Lmo4
Gmpr,Igf1r
Slc2a3,Ms4a3
Rps20,Gstm1
Mef2c,Cebpb
Sh3glb1,Myc
Ctla2a,Arl11
Rpl28,Fcer1g
Nfkb1,Mpo
Irgm1,Ikzf2
Cd9,Rhoj
F2r,Elane
Muc13,Slc22a3
Rps6,Id1
Rbpms,Anxa3
Lasp1,Csgalnact2
Svil,Gdi2
Rpl22l1,Serp1
Podxl,Spcs2
Rps2,Csf2rb
Serpina3g,Fam46a
Igtp,Fcgr2b
Ifitm3,Ccl6
Mycn,Lcp1
Bcl11a,Cd47
Tnfaip2,Myl12b
Cisd1,P4hb
Rps8,Hdc
Rpl18a,Pcsk9
Idi1,Lpcat2
Irf9,Gata2
Itga6,Csf2rb2
Rab38,Slc7a8
Plscr1,Rpn1
Tln1,Cd48
Rps18,Rsu1
Nrgn,Mcpt8
Rpl31,Syce2
Ptk2b,Plin3
Jak1,Ndst2
Wdr89,Ms4a2
Rps13,Atp6v0a1
Rack1,Osbpl8
Rabgap1l,Scin
Itgb3,Gpi1
Myl6,Hspa5
Klhl6,Surf4
Rps11,Stx3
Sept8,Pgam1
Slc25a3,Hmgb2
Rps5,Xbp1
Rpl37,Sell
Actg1,Emilin2
Rps3a1,Slc29a1
Plxnc1,Itgal
Rpl13,Ssr3
Actb,Ssr2
Rps25,Osm
Rps23,Hk3
Gm7694,Nin
Serinc3,Ostc
Banf1,Ddx26b
Rpl6,Pecam1
Rpl30,Pi4k2b
Rpl35a,Itm2b
Rps16,Alox5
Naca,Idh1
Rps19,Hsp90b1
mt.Atp6,Rpn2
Rpl19,Sep15
Rpl7,Serpinb1a
Rpl23,Tmed2
,Ccl3
,Cd93
,Abce1
,Ppp3ca
,X2810417H13Rik
,Gapdh
,Cebpa
,Nt5dc2
,X4930519L02Rik
,Cerk
,Lman2
,Rsrp1
,Gsto1
,Perp
,Anxa2
,Anxa1
,Atp2a2
,B3galnt2
,Cpne2
,Bcl2
,Pgap2
,Glud1
,Igsf8
,Ifi47
,Aqp9
,Pabpc1
,Rbms1
,Bri3bp
,Arhgdib
,Ghitm
,Adam17
,Ero1l
,Tcrg.C1
,Elovl5
,Edem1
,P2rx4
,Lbr
,Mlec
,Rnf130
,Bnip3
,Pdia6
,Gng12
,Spcs3
,Vimp
,Myb
,Cd200r4
,Ddx39
,Dnajc10
,Fam129a
,Lman1
,Vapa
,Tm6sf1
,Snx2
,Kif1bp
,Fam49b
,Tm9sf3
,Rin3
,Egln3
,Eno1
,Atp6ap2
,Atp6v1g1
,Limd2
,Gpx1
,Npepps
,Fut8
,Tec
,Tkt
,Adgrg3
,Gm43549
,Ifitm1
,Cox7c
,Napsa
,F630028O10Rik
,Wbp2
,Grn
,Rrm2
,Crtap
,Naa50
,Abca2
,Gyg
,Tars
,Socs1
,Selt
,Pank3
,Phf10
,Rab31
,Trappc4
,P4ha1
,Ifrd1
,Lamtor4
,Vim
,B4galnt1
,Mapkapk3
,Ckap4
,Ak4
,Gadd45a
,Ctsc
,Rgcc
,Fndc3b
,Sema4a
,Cd200r3
,Hnrnph1
,Dmxl2
,Xist
,Lamp2
,Itga4
,Rab21
,Slirp
,Sirpa
,Eif5
,Tomm70a
,Cyp51
,Atg12
,Msn
,Arhgap15
,Arpc1b
,Ncf1
,Snrpd3
,Plaa
,Manf
,Sms
,Snrpf
,Parvg
,Atf4
,Ide
,Nt5c3
,Clec4e
,Smim14
,Tfrc
,Lta4h
,Ppp2ca
,Ube2i
,Slc35c2
,Ssr1
,Spint2
,Hmgb1
,Iqgap2
,Rabac1
,Lamtor2
,Mrpl53
,Kmt5a
,Klhl5
,Il1rl1
,X1700020L24Rik
,Os9
,Slc7a5
,Ptma
,Tnfrsf26
,Sec24a
,Pde6d
,Eaf1
,Acadsb
,H13
,Cxcr4
,Cd63
,Anxa6
,Rcl1
,Fasn
,Dpy30
,Fabp5
,Metap2
,Nedd4
,Ybx1
,Arrb2
,Uck2
,Snhg1
,Adssl1
,Krtcap2
,Hnrnpdl
,Sdf2l1
,Ywhae
,Lrp12
,Abhd17c
,Pim1
,Ctsb
,Tmx4
,Nucb1
,Tob2
,Bst2
,Ewsr1
,Iqgap1
,Ube2m
,Rbbp4
,Cltc
,Gusb
,Magt1
,Aco2
,Itgb2
,Idh3a
,Mad2l1
,Cs
,Evi2b
,Wdr5
,Tram1
,Arl1
,Slc3a2
,Wdr26
