Fly	TipAnn	CladeSize	Total	EffN	Lower	Upper
Fly-1	Br	1 (431), 2 (131), 3 (49), 4 (33), 5 (14), 6 (9), 7 (6), 8 (8), 9 (3), 10 (4), 11 (1), 12 (1), 15 (1), 42 (1)	1349	367.215670436187	327.080289370926	410.119008816295
Fly-1	Ey	1 (160), 2 (40), 3 (19), 4 (4), 5 (3), 6 (2), 7 (3), 8 (1), 18 (1), 44 (1), 84 (1)	515	27.2503603047148	22.7314563345863	31.461157185971
Fly-1	Fb	1 (234), 2 (55), 3 (11), 4 (5), 5 (1), 6 (1)	408	580.615384615385	440.567452647855	746.922303826826
Fly-1	Fg	1 (48), 2 (8)	64	252	129.482412060301	618.603015075377
Fly-1	Gd	1 (65), 2 (18), 3 (9), 4 (3), 7 (1), 9 (1), 12 (1)	168	75.4193548387097	54.3853136650997	105.549197600908
Fly-1	Hg	1 (29), 2 (13), 3 (2), 4 (1), 5 (1)	70	69	44.5552763819096	139.473618090452
Fly-1	Hl	1 (87), 2 (23), 3 (9), 4 (4), 5 (3), 7 (1), 9 (1), 10 (1), 13 (2), 18 (1)	261	65.8834951456311	51.2335219788262	84.7546470215153
Fly-1	L1	1 (40), 2 (18), 3 (11), 4 (6), 5 (2), 6 (2), 7 (5), 9 (1), 18 (1)	217	54.3758700696056	42.2847532325199	73.0248807844326
Fly-1	L2	1 (60), 2 (21), 3 (12), 4 (2), 5 (2), 6 (1), 8 (1), 9 (1), 10 (1), 11 (1)	200	74.2537313432836	54.9440298507463	99.7201492537314
Fly-1	L3	1 (23), 2 (17), 3 (9), 4 (5), 5 (1), 10 (1)	119	54.4263565891473	38.2215242881072	85.4001499746796
Fly-1	Mg	1 (73), 2 (21), 3 (3), 5 (2)	134	178.22	115.08175879397	272.927361809045
Fly-1	Mp	1 (54), 2 (20), 3 (4), 4 (4), 5 (1)	127	121.227272727273	85.1332229328461	190.217165372316
Fly-1	Sg	1 (192), 2 (37), 3 (5), 4 (2), 5 (1)	294	582.040540540541	408.744550454978	781.659972158088
Fly-1	Tr	1 (38), 2 (20), 3 (5), 4 (3)	105	103.018867924528	68.4635441357732	171.352991371954
Fly-1	Vc	1 (148), 2 (33), 3 (21), 4 (3), 5 (1)	294	347.346774193548	263.564637704652	459.929020100503
Fly-1	Wg	1 (289), 2 (53), 3 (20), 4 (4), 5 (4), 6 (2), 7 (3), 8 (2), 9 (1), 11 (1), 15 (1), 17 (1), 18 (1), 33 (1), 35 (1)	678	118.66752843847	101.22519071573	137.004345018786
Fly-2	Br	1 (374), 2 (107), 3 (33), 4 (17), 5 (8), 6 (10), 7 (3), 8 (2), 9 (2), 11 (1), 13 (2), 16 (1), 17 (1), 19 (1), 49 (1)	1048	215.740464018875	188.095329182286	240.946322252236
Fly-2	Ey	1 (148), 2 (41), 3 (12), 4 (9), 5 (3), 6 (1), 7 (2), 8 (3), 9 (3), 10 (1), 12 (2), 13 (1), 15 (2), 17 (2), 23 (1), 30 (1), 35 (1)	587	70.7781893004115	61.7086223297558	81.7150200591435
Fly-2	Fb	1 (178), 2 (35), 3 (6), 4 (2), 6 (1)	280	488.25	352.079773869347	664.903266331658
Fly-2	Fg	1 (84), 2 (13), 3 (3), 4 (1), 5 (1)	128	213.894736842105	138.117958212113	347.7133033589
Fly-2	Gd	1 (45), 2 (17), 3 (8), 4 (1), 5 (2), 6 (1), 7 (1), 10 (1)	140	65.7432432432432	46.1689358956947	93.2463839467608
Fly-2	Hg	1 (80), 2 (19), 3 (4), 4 (2)	138	219.837209302326	146.097843870515	336.660248919014
Fly-2	Hl	1 (44), 2 (12), 3 (1), 4 (1), 6 (1), 9 (1)	90	55.625	38.0150753768844	89.3773555276382
Fly-2	L1	1 (25), 2 (9), 3 (8), 4 (1), 5 (2), 6 (1), 11 (1), 16 (1), 25 (1)	139	17.4699453551913	13.256089189115	23.7907296043057
Fly-2	L2	1 (149), 2 (23), 3 (15), 4 (10), 5 (7), 6 (4), 7 (4), 8 (4), 9 (1), 10 (2), 11 (1), 14 (1), 18 (1), 41 (1)	512	76.9958799293702	64.2277189360576	90.3444118769244
Fly-2	L3	1 (30), 2 (16), 3 (6), 4 (6), 6 (3), 29 (1)	151	21.7370441458733	16.0843203541701	30.8305563325264
Fly-2	Mg	1 (551), 2 (102), 3 (12), 4 (8), 5 (5), 7 (3)	869	1261.35785953177	1004.64935043109	1551.34339758996
Fly-2	Mp	1 (63), 2 (14), 3 (4), 4 (3)	115	148.977272727273	96.1988921882138	244.989007537688
Fly-2	Sg	1 (126), 2 (32), 3 (7)	211	418.018867924528	285.681236370532	600.770835308619
Fly-2	Tr	1 (12), 2 (10), 3 (2), 4 (2)	46	36.9642857142857	23.1723348887294	91.4355258435032
Fly-2	Vc	1 (60), 2 (11), 3 (6), 5 (1)	105	140	87.7638190954774	240.778894472362
Fly-2	Wg	1 (258), 2 (33), 3 (8), 4 (2), 5 (4), 7 (1), 9 (2), 17 (2), 20 (1), 37 (1)	492	90.8165413533835	75.7565118827219	108.272484603468
