Embryo	TipAnn	CladeSize	Total	EffN
embryo6	ExEcto	1 (72), 2 (14), 3 (3), 4 (1)	113	218.206896551724
embryo3	ExEcto	1 (135), 2 (5), 3 (3), 4 (1), 5 (1)	163	440.1
embryo6	ICM	1 (123), 2 (80), 3 (33), 4 (36), 5 (20), 6 (12), 7 (5), 8 (6), 9 (4), 10 (6), 11 (4), 12 (9), 13 (2), 14 (4), 15 (2), 16 (3), 17 (7), 19 (3), 21 (2), 22 (2), 23 (1), 24 (2), 26 (1), 27 (3), 29 (1), 30 (2), 31 (4), 34 (1), 35 (2), 36 (1), 37 (2), 38 (1), 39 (2), 40 (3), 41 (1), 44 (2), 47 (1), 48 (4), 49 (1), 51 (1), 52 (4), 53 (1), 56 (3), 59 (1), 60 (1), 61 (1), 69 (1), 72 (1), 74 (1), 75 (1), 77 (1), 78 (2), 93 (1), 96 (2), 105 (1), 108 (1), 121 (1), 123 (2), 125 (1), 134 (1), 162 (1), 172 (1), 196 (1), 214 (1), 222 (1), 228 (1), 257 (1), 291 (1), 372 (1), 453 (1), 737 (1), 1229 (1)	9549	29.9546254400847
embryo3	ICM	1 (636), 2 (150), 3 (99), 4 (53), 5 (41), 6 (27), 7 (26), 8 (21), 9 (13), 10 (14), 11 (12), 12 (5), 13 (5), 14 (9), 15 (9), 16 (3), 17 (4), 18 (2), 19 (4), 20 (6), 21 (2), 22 (5), 23 (1), 24 (7), 25 (5), 26 (3), 27 (1), 28 (3), 29 (2), 30 (1), 31 (1), 32 (1), 34 (1), 35 (3), 36 (5), 37 (1), 39 (2), 42 (3), 48 (3), 49 (1), 51 (2), 53 (4), 56 (1), 57 (1), 63 (1), 64 (5), 65 (1), 66 (1), 69 (3), 72 (1), 73 (1), 74 (1), 75 (2), 77 (1), 81 (1), 90 (1), 91 (2), 96 (1), 97 (1), 100 (1), 110 (1), 160 (1)	7356	202.06526935373
embryo6	Epb	1 (621), 2 (221), 3 (109), 4 (86), 5 (45), 6 (31), 7 (19), 8 (19), 9 (14), 10 (11), 11 (11), 12 (13), 13 (7), 14 (13), 15 (6), 16 (4), 17 (7), 18 (7), 19 (4), 20 (2), 21 (6), 22 (4), 23 (3), 24 (2), 25 (4), 26 (3), 27 (2), 29 (2), 30 (3), 31 (5), 33 (1), 34 (1), 35 (4), 36 (1), 37 (2), 38 (1), 40 (2), 41 (3), 43 (1), 44 (3), 47 (1), 48 (5), 49 (1), 52 (4), 53 (1), 55 (1), 56 (2), 59 (1), 61 (2), 63 (2), 72 (1), 74 (1), 75 (1), 78 (2), 83 (1), 89 (1), 96 (1), 100 (1), 107 (1), 108 (1), 121 (1), 123 (1), 125 (1), 134 (1), 146 (1), 169 (1), 172 (1), 307 (1), 600 (1)	9258	105.980453891167
embryo3	Epb	1 (1528), 2 (255), 3 (136), 4 (66), 5 (46), 6 (36), 7 (26), 8 (22), 9 (14), 10 (11), 11 (9), 12 (6), 13 (8), 14 (8), 15 (6), 16 (3), 18 (1), 19 (2), 20 (5), 21 (1), 22 (2), 23 (1), 24 (3), 25 (3), 26 (3), 27 (1), 29 (2), 30 (1), 35 (1), 36 (2), 39 (2), 42 (1), 48 (1), 50 (1), 51 (1), 53 (2), 56 (1), 57 (1), 63 (1), 64 (1), 65 (1), 69 (1), 73 (1), 74 (1), 77 (1), 96 (1), 97 (1)	6132	349.997132643182
embryo6	Hpb	1 (213), 2 (22), 3 (3), 5 (2), 6 (1), 9 (1)	291	413.676470588235
embryo3	Hpb	1 (653), 2 (118), 3 (32), 4 (14), 5 (10), 6 (8), 7 (4), 9 (2), 10 (1), 12 (1), 17 (1)	1224	812.677524429967
embryo6	Ectoderm	1 (3105), 2 (286), 3 (94), 4 (33), 5 (16), 6 (3), 7 (4), 8 (1)	4225	8239.3351800554
embryo3	Ectoderm	1 (1215), 2 (30), 3 (9), 4 (1)	1306	13526.4285714286
embryo3	PrS	1 (3144), 2 (269), 3 (128), 4 (54), 5 (33), 6 (17), 7 (6), 8 (8), 9 (7), 10 (3), 11 (2), 12 (1), 13 (1), 14 (1), 17 (1)	4826	4188.03057553957
embryo6	PrS	1 (3521), 2 (369), 3 (119), 4 (50), 5 (16), 6 (9), 7 (2), 8 (2), 9 (2), 10 (1), 11 (1), 14 (1)	5033	7528.55410225922
embryo6	Endoderm	1 (582), 2 (20), 3 (2), 4 (2)	636	5313.94736842105
embryo3	Endoderm	1 (514), 2 (6), 3 (1)	529	15517.3333333333
embryo3	Mesoderm	1 (3026), 2 (235), 3 (103), 4 (45), 5 (22), 6 (10), 7 (3), 8 (4), 9 (2), 10 (2), 11 (2), 12 (1), 17 (1)	4297	5035.43698854337
embryo6	Mesoderm	1 (3224), 2 (309), 3 (95), 4 (32), 5 (11), 6 (9), 7 (1), 8 (1), 9 (2)	4397	8389.41493055556
embryo6	Neuroectoderm	1 (2571), 2 (198), 3 (40), 4 (11), 5 (3), 6 (2), 7 (1), 8 (1)	3173	10207.6632860041
embryo3	Neuroectoderm	1 (812), 2 (19), 3 (3), 4 (1)	863	10939.7941176471
embryo6	SurfaceEctoderm	1 (913), 2 (24), 3 (4), 5 (2)	983	8618.80357142857
embryo3	SurfaceEctoderm	1 (231), 2 (1)	233	27028
